iter	Logloss
0	0.6791573403
1	0.6700598631
2	0.6637091904
3	0.6601463388
4	0.6568863478
5	0.6550669341
6	0.6534968767
7	0.6523511036
8	0.6515286703
9	0.6509975093
10	0.6474067282
11	0.6469665358
12	0.6411583136
13	0.6407275196
14	0.6404262327
15	0.640244007
16	0.6345622626
17	0.6342892556
18	0.6340540615
19	0.633958307
20	0.6338836269
21	0.6338171382
22	0.6330993729
23	0.6330254037
24	0.6304711726
25	0.6303424665
26	0.630254696
27	0.630148852
28	0.6301035816
29	0.6300820932
30	0.6300672647
31	0.6300253047
32	0.6300093896
33	0.6296740784
34	0.6296215756
35	0.6295989184
36	0.6294948106
37	0.6294636643
38	0.6294401459
39	0.6294196922
40	0.6293703798
41	0.629351435
42	0.629098029
43	0.6289343129
44	0.628742967
45	0.6287251245
46	0.6286970436
47	0.6286707601
48	0.6286451108
49	0.6286244069
50	0.6286025811
51	0.6285829435
52	0.6276495321
53	0.6262988825
54	0.6261118806
55	0.6260771925
56	0.6252645486
57	0.6251483707
58	0.6250608743
59	0.624464362
60	0.6243888239
61	0.6240013275
62	0.6238964278
63	0.6238395378
64	0.6238190191
65	0.6237991726
66	0.6237820974
67	0.6237087861
68	0.6235183401
69	0.6234305844
70	0.6233104704
71	0.6232903092
72	0.6231438916
73	0.6231231258
74	0.6230932177
75	0.6230727112
76	0.623051498
77	0.6230316758
78	0.6230170294
79	0.6230017538
80	0.622833416
81	0.6227947498
82	0.6227784833
83	0.6226817626
84	0.6226511578
85	0.6226321783
86	0.6225095246
87	0.6224935366
88	0.6224270185
89	0.6224143484
90	0.6223997568
91	0.6223852254
92	0.6222256259
93	0.6221390807
94	0.6219919337
95	0.6219633838
96	0.6219018596
97	0.6218701752
98	0.6218679135
99	0.6218569418
