iter	Passed	Remaining
0	171	16998
1	342	16791
2	488	15792
3	615	14766
4	787	14965
5	919	14399
6	1045	13884
7	1164	13396
8	1306	13206
9	1455	13103
10	1620	13107
11	1746	12806
12	1884	12612
13	2004	12315
14	2139	12125
15	2304	12096
16	2448	11956
17	2588	11793
18	2721	11600
19	2847	11390
20	2986	11236
21	3142	11143
22	3307	11072
23	3433	10871
24	3576	10729
25	3690	10503
26	3841	10386
27	3984	10246
28	4120	10089
29	4271	9965
30	4389	9769
31	4486	9533
32	4617	9375
33	4761	9242
34	4904	9108
35	5042	8964
36	5178	8816
37	5282	8618
38	5386	8425
39	5499	8248
40	5608	8070
41	5705	7879
42	5808	7700
43	5913	7526
44	6013	7349
45	6116	7180
46	6238	7035
47	6350	6879
48	6450	6713
49	6557	6557
50	6657	6396
51	6764	6244
52	6866	6089
53	6976	5943
54	7081	5794
55	7190	5649
56	7321	5523
57	7442	5389
58	7577	5265
59	7745	5163
60	8306	5310
61	8640	5295
62	8828	5185
63	8968	5044
64	9119	4910
65	9270	4775
66	9395	4627
67	9569	4503
68	9717	4365
69	9843	4218
70	9962	4069
71	10093	3925
72	10245	3789
73	10386	3649
74	10487	3495
75	10633	3357
76	10768	3216
77	10894	3072
78	11018	2928
79	11152	2788
80	11267	2642
81	11373	2496
82	11511	2357
83	11655	2220
84	11792	2080
85	11941	1943
86	12080	1805
87	12217	1665
88	12359	1527
89	12486	1387
90	12634	1249
91	12782	1111
92	12907	971
93	13033	831
94	13176	693
95	13313	554
96	13463	416
97	13599	277
98	13770	139
99	13879	0
